accession	domaine
A0A812SID3	Eukaryota
A0A812VCA1	supprimé d'UniProt
A0A813HLF5	Eukaryota
A0A833W5L3	Eukaryota
A0A835Z2A9	Eukaryota
A0A839DP46	Bacteria
A0A839IQB9	Bacteria
A0A839NA53	Bacteria
A0A839QPI3	Bacteria
A0A839R1U5	Bacteria
A0A839RZS5	Bacteria
A0A839VCU5	Bacteria
A0A840DQ82	Bacteria
A0A840EUN4	Bacteria
A0A840J3W7	Bacteria
A0A840N5M5	Bacteria
A0A840P861	Bacteria
A0A840PZW5	Bacteria
A0A840WDS2	Bacteria
A0A840X4N8	Bacteria
A0A841ALH0	Bacteria
A0A841BRQ7	Bacteria
A0A841CJM7	Bacteria
A0A841D2W9	Bacteria
A0A841E7W1	Bacteria
A0A841FKZ3	Bacteria
A0A841IPW4	Bacteria
A0A846RPN2	Bacteria
A0A846XL79	Bacteria
A0A846XSU6	Bacteria
A0A846ZA10	Bacteria
A0A848DD05	Bacteria
A0A848KEN0	Bacteria
A0A848L0I5	Bacteria
A0A848RZ51	supprimé d'UniProt
A0A849A3W1	Bacteria
A0A849AEP1	Bacteria
A0A849BTY3	Bacteria
A0A849C2I4	Bacteria
A0A849HHF6	Bacteria
A0A849JVY6	Bacteria
A0A850J5U4	supprimé d'UniProt
A0A852STE1	Bacteria
A0A852TTX3	Bacteria
A0A852V646	Bacteria
A0A852VYX5	Bacteria
A0A852WPY7	Bacteria
A0A852WXU9	Bacteria
A0A852ZVR2	Bacteria
A0A853AE56	Bacteria
A0A853B3X7	Bacteria
A0A853BKT3	Bacteria
A0A853C0E2	Bacteria
A0A853CGD0	Bacteria
A0A853DFN2	Bacteria
A0A895XFE9	Bacteria
A0A895Y935	Bacteria
A0A8A4ZKJ9	Bacteria
A0A8A7KC48	Bacteria
A0A8F4J8M6	supprimé d'UniProt
A0A8H2PU65	Bacteria
A0A8H9HF99	Bacteria
A0A8H9IQI5	Bacteria
A0A8H9L554	Bacteria
A0A8H9LHR9	Bacteria
A0A8I0KP44	Bacteria
A0A8J2S4W0	Eukaryota
A0A8J2S7V2	Eukaryota
A0A8J2SN08	Eukaryota
A0A8J2ST05	Eukaryota
A0A8J2TZ30	Bacteria
A0A8J3AMB2	Bacteria
A0A8J3BBV7	Bacteria
A0A8J3C2P9	Bacteria
A0A8J3CJ77	Bacteria
A0A8J3ETE5	Bacteria
A0A8J3FFX6	Bacteria
A0A8J3GQZ1	Bacteria
A0A8J3HJV6	supprimé d'UniProt
A0A8J3IXA5	Bacteria
A0A8J3PDD8	Bacteria
A0A8J3PJW8	Bacteria
A0A8J3QK72	Bacteria
A0A8J3RBZ5	Bacteria
A0A8J3UVD4	Bacteria
A0A8J3UX92	Bacteria
A0A8J3VLE7	Bacteria
A0A8J3WF51	Bacteria
A0A8J3WSB7	Bacteria
A0A8J3X174	Bacteria
A0A8J3YAE5	Bacteria
A0A8J3ZJI6	Bacteria
A0A8J4DNU7	Bacteria
A0A8J4E1G9	Bacteria
A0A8J5M6Y4	Eukaryota
A0A8J5XFE8	Eukaryota
A0A8J6C647	Eukaryota
A0A8J7GUY8	Bacteria
A0A8J7JXY3	Bacteria
A0A8J8BBW3	Bacteria
A0A8T1W2Z0	Eukaryota
A0A8T1WVM5	Eukaryota
A0A8T4F8W2	supprimé d'UniProt
A0A8T4HU19	supprimé d'UniProt
A0A8T4IP86	Bacteria
A0A8T8I5K5	supprimé d'UniProt
A0A916JU30	Bacteria
A0A916WNK6	Bacteria
A0A916WT61	Bacteria
A0A916X0S8	Bacteria
A0A916XEQ9	Bacteria
A0A916YA04	Bacteria
A0A917APT0	Bacteria
A0A917B6R0	Bacteria
A0A917BF79	Bacteria
A0A917BGP2	Bacteria
A0A917G0G2	Bacteria
A0A917GF19	Bacteria
A0A917ICG8	Bacteria
A0A917JHW0	Bacteria
A0A917MTH3	Bacteria
A0A917NML2	Bacteria
A0A917NSG1	Bacteria
A0A917P8H5	Bacteria
A0A917RSG9	Bacteria
A0A917SII5	Bacteria
A0A917SLU2	Bacteria
A0A917TBE5	Bacteria
A0A917V8D9	Bacteria
A0A917VE55	Bacteria
A0A917VEW9	Bacteria
A0A917WPQ3	Bacteria
A0A917XLM9	Bacteria
A0A917YUP6	Bacteria
A0A918A9J9	Bacteria
A0A918AM56	Bacteria
A0A918AYS8	Bacteria
A0A918BES8	Bacteria
A0A918C4J3	Bacteria
A0A918D9W1	Bacteria
A0A918DQS9	Bacteria
A0A918DY48	Bacteria
A0A918F1K6	Bacteria
A0A918FGV0	Bacteria
A0A918FV03	Bacteria
A0A918G1M1	Bacteria
A0A918H310	Bacteria
A0A918KPI9	Bacteria
A0A918LC38	Bacteria
A0A918LWZ6	Bacteria
A0A918M3H1	Bacteria
A0A918MA78	Bacteria
A0A918MK54	Bacteria
A0A918NT49	Bacteria
A0A918PN86	Bacteria
A0A918T534	Bacteria
A0A918UP35	Bacteria
A0A918VID6	Bacteria
A0A918XDP5	Bacteria
A0A918YAA4	Bacteria
A0A919A4M3	Bacteria
A0A919AG43	Bacteria
A0A919B8B0	Bacteria
A0A919BKX0	Bacteria
A0A919CJD1	Bacteria
A0A919D0A1	Bacteria
A0A919DRC5	Bacteria
A0A919FL14	Bacteria
A0A919G0X6	Bacteria
A0A919G9U6	Bacteria
A0A919H2J7	Bacteria
A0A919IEJ9	Bacteria
A0A919JW72	Bacteria
A0A919L7Z2	Bacteria
A0A919LLZ1	supprimé d'UniProt
A0A919MET7	Bacteria
A0A919MP69	Bacteria
A0A919N8R5	Bacteria
A0A919PED5	Bacteria
A0A919Q0A6	Bacteria
A0A919R201	Bacteria
A0A919RGL4	Bacteria
A0A919S629	Bacteria
A0A919SQ75	Bacteria
A0A919TRD1	Bacteria
A0A919TXP5	Bacteria
A0A919U5J0	Bacteria
A0A919UKT5	Bacteria
A0A923E6Y8	Bacteria
A0A923EPX6	supprimé d'UniProt
A0A926K6J0	supprimé d'UniProt
A0A926K9Y9	supprimé d'UniProt
A0A926KH96	supprimé d'UniProt
A0A926LGE7	supprimé d'UniProt
A0A926PYX8	supprimé d'UniProt
A0A926Q8E3	supprimé d'UniProt
A0A926QRF9	Bacteria
A0A927G991	Bacteria
A0A927IDZ3	Bacteria
A0A927IPY2	supprimé d'UniProt
A0A927LYQ3	Bacteria
A0A927N3F5	Bacteria
A0A927PKM5	Bacteria
A0A927PZM6	Bacteria
A0A929BA89	Bacteria
A0A929L7W4	supprimé d'UniProt
A0A930V2X3	Bacteria
A0A930VCK8	Bacteria
A0A930YMP0	Bacteria
A0A931AY74	Bacteria
A0A931C6P9	Bacteria
A0A931DI29	Bacteria
A0A931DVP7	supprimé d'UniProt
A0A931F0R9	Bacteria
A0A931FDN0	Bacteria
A0A931G5C4	Bacteria
A0A931GL04	Bacteria
A0A931GTQ9	Bacteria
A0A931HR11	supprimé d'UniProt
A0A931I984	Bacteria
A0A934JVW0	Bacteria
A0A934M6H8	Bacteria
A0A934MAX2	Bacteria
A0A934Q6U0	Bacteria
A0A934Q9T0	Bacteria
A0A934QTY4	Bacteria
A0A934SSC2	Bacteria
A0A934U4I1	Bacteria
A0A934U7V0	supprimé d'UniProt
A0A937EG36	Bacteria
A0A937RFD0	Bacteria
A0A938XT04	Bacteria
A0A938YB95	Bacteria
A0A938YPK2	Bacteria
A0A939B9B7	Bacteria
A0A939C0C4	Bacteria
A0A939DDK8	Bacteria
A0A939E1J6	Bacteria
A0A939FF60	Bacteria
A0A939FKL9	Bacteria
A0A939HDT5	Bacteria
A0A939LQ60	Bacteria
A0A939MJQ3	Bacteria
A0A939PEC5	Bacteria
A0A939QHL0	Bacteria
A0A939QK26	Bacteria
A0A939RTC9	Bacteria
A0A940JRV6	supprimé d'UniProt
A0A940MEE8	Bacteria
A0A940PU18	Bacteria
A0A940WU58	Bacteria
A0A940XRK2	Bacteria
A0A940Z3L2	supprimé d'UniProt
A0A941E944	Bacteria
A0A941I131	Bacteria
A0A941INV3	Bacteria
A0A942JTD5	supprimé d'UniProt
A0A942QK73	supprimé d'UniProt
A0A944EHZ2	supprimé d'UniProt
A0A944ESC1	supprimé d'UniProt
A0A944IKG3	supprimé d'UniProt
A0A944J8L5	supprimé d'UniProt
A0A944KGN4	supprimé d'UniProt
A0A944KJN4	supprimé d'UniProt
A0A944L810	supprimé d'UniProt
A0A944LB70	supprimé d'UniProt
A0A944P763	supprimé d'UniProt
A0A944PGE5	supprimé d'UniProt
A0A944PNM3	supprimé d'UniProt
A0A944Q2X7	supprimé d'UniProt
A0A944QG25	supprimé d'UniProt
A0A949JNX3	Bacteria
A0A949TYB5	supprimé d'UniProt
A0A964UPX3	Bacteria
A0A967B1D2	Bacteria
A0A974N8L9	supprimé d'UniProt
A0A974UTW9	supprimé d'UniProt
A0A974VN93	supprimé d'UniProt
A0A974WSY2	supprimé d'UniProt
A0A974X883	supprimé d'UniProt
A0A975INE3	Bacteria
A0A975K0Z0	Bacteria
A0A975QK27	Bacteria
A0A975RH05	supprimé d'UniProt
A0A975S778	Bacteria
A0A975SGT2	supprimé d'UniProt
A0A975STT4	supprimé d'UniProt
A0A975T014	Bacteria
A0A976FR31	Eukaryota
A0A9E6WZ83	supprimé d'UniProt
A0A9E8SAD7	Bacteria
A0A9J6RHT7	Bacteria
A0A9K3KWR1	Eukaryota
A0A9K3PP58	Eukaryota
A0A9N8DX47	Eukaryota
A0A9N8E898	Eukaryota
A0A9N8EKR1	Eukaryota
A0A9N8EZL3	Eukaryota
A0A9P1DTS0	Eukaryota
A0A9P2WS93	Bacteria
A0A9P3Q979	Bacteria
A0A9Q5C8F5	supprimé d'UniProt
A0A9Q7A5V8	Bacteria
A0A9W4H0C0	Bacteria
A0A9W5T8J3	Eukaryota
A0A9W5UQV2	Bacteria
A0A9W6CZY5	Bacteria
A0A9W6G7R2	Bacteria
A0A9W6H6X3	Bacteria
A0A9W6HFB1	Bacteria
A0A9W6HTK2	Bacteria
A0A9W6KCL6	Bacteria
A0A9W6LWS4	Bacteria
A0A9W6M6F4	Bacteria
A0A9W6MF22	Bacteria
A0A9W6NZT2	Bacteria
A0A9W6QN61	Bacteria
A0A9W6QX64	Bacteria
A0A9W6S3U6	Bacteria
A0A9W6UG89	Bacteria
A0A9W6USX0	Bacteria
A0A9W6W7Z2	Bacteria
A0A9W7A062	supprimé d'UniProt
A0A9W7CHG9	Eukaryota
A0A9W7F214	Eukaryota
A0A9W7GL09	Eukaryota
A0A9X1LPJ3	Bacteria
A0A9X1NJQ1	Bacteria
A0A9X1S1Y8	Bacteria
A0A9X1TY29	Bacteria
A0A9X2IDP9	Bacteria
A0A9X2KIE2	Bacteria
A0A9X3BWR0	Bacteria
A0A9X4RDH2	Bacteria
A0AA37VSJ9	supprimé d'UniProt
A0AA37W838	Bacteria
A0AA37XBC6	Bacteria
A0AA37XD71	Bacteria
A0AA40VKM9	Bacteria
A0AA41PZY7	Bacteria
A0AA41U820	Bacteria
A0AA41XG30	Bacteria
A0AA41ZNC5	Bacteria
A0AA43P773	supprimé d'UniProt
A0AA44ICQ9	Bacteria
A0AA45C4V1	Bacteria
A0AA46TK01	Bacteria
A0AA88KMG9	Eukaryota
A0AA95JXX1	supprimé d'UniProt
A0AA97LWS7	Bacteria
A0AAD2CGX9	Eukaryota
A0AAD2GC12	Eukaryota
A0AAD2PVL0	Eukaryota
A0AAD3CTX2	Eukaryota
A0AAD3CV09	Eukaryota
A0AAD3DF44	Eukaryota
A0AAD7XP85	Eukaryota
A0AAD8PFV8	Eukaryota
A0AAD8Y1T9	Eukaryota
A0AAD8Y377	Eukaryota
A0AAD8Y711	Eukaryota
A0AAD9DHG2	Eukaryota
A0AAD9G490	Eukaryota
A0AAD9G714	Eukaryota
A0AAD9UP27	Eukaryota
A0AAE3GIE6	Bacteria
A0AAE4C6P0	Bacteria
A0AAE4CCL8	Bacteria
A0AAE9YH79	Bacteria
A0AAF0LB79	supprimé d'UniProt
A0AAJ1BEQ3	supprimé d'UniProt
A0AAJ2U2A5	supprimé d'UniProt
A0AAJ3NQ93	Bacteria
A0AB38R9N0	Bacteria
A0JU23	supprimé d'UniProt
A0LW69	Bacteria
A0R3B7	Bacteria
A0Z830	supprimé d'UniProt
A1A145	Bacteria
A1SF68	supprimé d'UniProt
A3TPY2	supprimé d'UniProt
A4A442	Bacteria
A4AJC3	supprimé d'UniProt
A4F806	Bacteria
A4IAD9	Eukaryota
A4SAH6	Eukaryota
A4SB46	Eukaryota
A4X3B9	Bacteria
A5U168	Bacteria
A6W6X4	Bacteria
A7ANF9	Eukaryota
A7HNK8	Bacteria
A8F588	Bacteria
A8UTI2	supprimé d'UniProt
A9WKT2	Bacteria
B1MKG3	Bacteria
B1VFL2	Bacteria
B2GLQ3	Bacteria
B2HDI3	Bacteria
B4V9T6	supprimé d'UniProt
B5GZP0	Bacteria
B5HJI3	Bacteria
B7FYF2	Eukaryota
B7FZ01	Eukaryota
B7IFP6	Bacteria
B7S1Q1	supprimé d'UniProt
B8CC62	Eukaryota
B8D060	Bacteria
B8DTJ1	Bacteria
B8KXK2	Bacteria
C0QPI3	Bacteria
C0VZM2	Bacteria
C0W7N0	Bacteria
C1ECF1	Eukaryota
C1EGC9	Eukaryota
C1MVM0	Eukaryota
C1N6P5	Eukaryota
C3PFA9	Bacteria
C4LHL9	Bacteria
C4RPT6	supprimé d'UniProt
C5C095	Bacteria
C5C989	Bacteria
C5CDG9	Bacteria
C6WJK4	Bacteria
C7M0H6	Bacteria
C7MC80	Bacteria
C7MYV6	Bacteria
C7QHH0	Bacteria
C7R006	Bacteria
C9YY39	Bacteria
D0L761	Bacteria
D0NKV2	Eukaryota
D1A7N5	Bacteria
D1B690	Bacteria
D1BXQ3	Bacteria
D2B3Y7	Bacteria
D2NP98	Bacteria
D2PPA4	Bacteria
D2Q9P1	Bacteria
D2S941	Bacteria
D2V3D0	Eukaryota
D2Z3I7	Bacteria
D3PZ22	Bacteria
D4BNM7	Bacteria
D4YQW9	Bacteria
D5EGE8	Bacteria
D5PFK7	Bacteria
D5UKK2	Bacteria
D5UV32	Bacteria
D6Y888	Bacteria
D6Z7N8	Bacteria
D6ZKJ5	Bacteria
D7B6X1	Bacteria
D7BKN3	Bacteria
D7BXA7	Bacteria
D7FHT2	Eukaryota
D7GFC9	Bacteria
D7WEC7	Bacteria
D8LLL9	Eukaryota
D9Q9H1	Bacteria
D9QSW9	Bacteria
D9XFF5	Bacteria
E0DIN4	Bacteria
E0QP05	Bacteria
E2SBK4	Bacteria
E3CVW0	Bacteria
E3DQ82	Bacteria
E3JCN6	Bacteria
E4NG28	Bacteria
E4RJG7	Bacteria
E5XTF3	Bacteria
E6K1H5	Bacteria
E6SCQ4	Bacteria
F0VAI8	Eukaryota
F0YD16	Eukaryota
F1TK08	supprimé d'UniProt
F2K0F9	Bacteria
F2R6D2	Bacteria
F3KZS8	Bacteria
F3LI57	supprimé d'UniProt
F3NS04	supprimé d'UniProt
F4CTX7	Bacteria
F4GYM1	Bacteria
F5XTP3	Bacteria
F5YTW7	Bacteria
F6EQN6	Bacteria
F6FSP3	Bacteria
F7YYH6	Bacteria
F8A796	Bacteria
F8AVT5	Bacteria
F8E0H8	Bacteria
F8JW97	Bacteria
F9EJ58	supprimé d'UniProt
G2GAX8	Bacteria
G2NED3	supprimé d'UniProt
G4CYF5	Bacteria
G4ZX89	Eukaryota
G7CCD2	Bacteria
G7GNZ2	Bacteria
G7V8B1	Bacteria
G8RR22	Bacteria
G8SIN4	supprimé d'UniProt
G9PHS0	Bacteria
G9PR45	supprimé d'UniProt
H0J162	supprimé d'UniProt
H0QHC4	Bacteria
H0R5Q3	Bacteria
H0UKK8	Bacteria
H2J702	Bacteria
H3HCG6	Eukaryota
H3NW55	supprimé d'UniProt
H5USC5	Bacteria
H5XAY1	Bacteria
H6MRL3	Bacteria
H6QZN9	Bacteria
H6RSI9	Bacteria
I0GYZ2	Bacteria
I0IID3	Bacteria
I0KWX7	Bacteria
I0R1D8	supprimé d'UniProt
I1D678	Bacteria
I2F515	Bacteria
I3WHD7	supprimé d'UniProt
I4BNM7	Bacteria
I4BUK1	Bacteria
I4ESR4	Bacteria
I7JAL0	Eukaryota
J0MYC2	Bacteria
J0X160	Bacteria
J1RM75	Bacteria
J4D7F2	Eukaryota
K0F6J8	Bacteria
K0JRQ1	Bacteria
K0SY20	Eukaryota
K0YT52	Bacteria
K0Z0T0	Bacteria
K0ZEQ0	Bacteria
K2MEG4	Eukaryota
K4R8V9	Bacteria
K5BAQ9	Bacteria
K6UMD3	Bacteria
K6WJH9	Bacteria
K6WJV1	Bacteria
K9B2R6	Bacteria
K9EGJ3	Bacteria
L0AWN1	Eukaryota
L0K6I3	Bacteria
L1II88	Eukaryota
L1L7T3	Bacteria
L1MMC7	Bacteria
L7ETM5	Bacteria
L7KNX3	Bacteria
L7LCB3	Bacteria
L7LN51	Bacteria
L8TRK8	Bacteria
M0QMC3	Bacteria
M1MW91	Bacteria
M1UKA8	Bacteria
M2X9V0	Bacteria
M3A0J9	Bacteria
M3UZB8	Bacteria
M4BYE9	Eukaryota
M5EA70	Bacteria
M7NLP0	Bacteria
N0E338	Bacteria
N1UX13	Bacteria
N6XC12	Bacteria
O67516	Bacteria
P96375	Bacteria
Q0RCH0	Bacteria
Q1AXJ6	Bacteria
Q1QT24	Bacteria
Q2J621	Bacteria
Q4CZW9	Eukaryota
Q4DED9	Eukaryota
Q4JU53	Bacteria
Q4N569	Eukaryota
Q4Q2H2	Eukaryota
Q4UEC6	Eukaryota
Q580D1	Eukaryota
Q5YQ32	Bacteria
Q6ADR9	Bacteria
Q6NI59	Bacteria
Q741U5	supprimé d'UniProt
Q7D8Z3	Bacteria
Q7RJV4	Eukaryota
Q82HH7	Bacteria
Q83FF9	Bacteria
Q8FQS4	Bacteria
Q8G5J1	Bacteria
Q8NRR9	Bacteria
Q9CD40	Bacteria
Q9F2Q5	Bacteria
Q9X0G7	Bacteria
R4LBG5	supprimé d'UniProt
R4TBE6	Bacteria
R7WIE6	Bacteria
R7XV88	supprimé d'UniProt
S2L2B8	Bacteria
S2VFZ2	Bacteria
S2W0J9	Bacteria
S2YH70	supprimé d'UniProt
S3A3N9	Bacteria
S3BP36	supprimé d'UniProt
S3X035	supprimé d'UniProt
S3XYM7	supprimé d'UniProt
S3Z6N2	Bacteria
S4M5I0	Bacteria
S4XDM5	Bacteria
S5ST91	Bacteria
S5VNW0	Bacteria
S9TXE0	Eukaryota
T0RLE0	Eukaryota
T5KK57	supprimé d'UniProt
U1F748	Bacteria
U1MSR6	Bacteria
U1R7H6	Bacteria
U1RM37	supprimé d'UniProt
U2RT21	Bacteria
U3GTM6	Bacteria
U5E9I5	Bacteria
U5VUN2	Bacteria
U6GA88	Eukaryota
U6KWY5	Eukaryota
U6N5L6	Eukaryota
U7L6X5	supprimé d'UniProt
U7MIK7	supprimé d'UniProt
V5XGD4	Bacteria
V6K391	Bacteria
V6KJH3	supprimé d'UniProt
V9FNE8	Eukaryota
W0ZBK6	supprimé d'UniProt
W1MXI9	Bacteria
W1N9J4	Bacteria
W2EH85	supprimé d'UniProt
W2QG84	supprimé d'UniProt
W2ZRI4	supprimé d'UniProt
W5TQ70	Bacteria
W5W097	Bacteria
W5XZI9	Bacteria
W6K3M1	Bacteria
W6KI44	supprimé d'UniProt
W6KXX1	supprimé d'UniProt
W7IZX9	Bacteria
W7Q3H2	supprimé d'UniProt
W7SIL0	supprimé d'UniProt
W7TTH5	Eukaryota
W9AMH1	Bacteria
W9G1B0	Bacteria
W9GGV1	Bacteria
X5DQA4	Bacteria
X7E3J0	Bacteria
Z9JQ42	Bacteria
